# 探したが紹介ポストが見つからなかった作品／キャラ。hunt がここを飛ばす。
# id には vid でも cid でも書ける。見つかったら行を消せば対象に戻る。
id	checked_at	note
v7836	2026-09-09	依頼者が記入用ブックで黒ハイライト。メモ「この作品はもうプレイできないかも」
c6946	2026-09-09	依頼者が記入用ブックで『該当なし』と記入。全員ヒロインで、公式に紹介ポストが無い
c54641	2026-09-09	依頼者が記入用ブックで『該当なし』と記入。全員ヒロインで、公式に紹介ポストが無い
c64025	2026-09-09	依頼者が記入用ブックで『該当なし』と記入。全員ヒロインで、公式に紹介ポストが無い
c39721	2026-09-09	依頼者が記入用ブックで『該当なし』と記入。全員ヒロインで、公式に紹介ポストが無い
c28299	2026-09-09	依頼者が記入用ブックで『該当なし』と記入。全員ヒロインで、公式に紹介ポストが無い
c4788	2026-09-09	依頼者が記入用ブックで『該当なし』と記入。全員ヒロインで、公式に紹介ポストが無い
c50716	2026-09-09	依頼者が記入用ブックで『該当なし』と記入。全員ヒロインで、公式に紹介ポストが無い
c14695	2026-09-09	依頼者が記入用ブックで『該当なし』と記入。全員ヒロインで、公式に紹介ポストが無い
c30586	2026-09-09	依頼者が記入用ブックで『該当なし』と記入。全員ヒロインで、公式に紹介ポストが無い
v16651	2026-09-09	公式アカウントはあるが紹介ポストがXの検索に出てこない。①足がかり・②名前・発売年で絞った窓の3通りで空振り
v11637	2026-09-09	公式アカウントはあるが紹介ポストがXの検索に出てこない。①足がかり・②名前・発売年で絞った窓の3通りで空振り
v12159	2026-09-09	公式アカウントはあるが紹介ポストがXの検索に出てこない。①足がかり・②名前・発売年で絞った窓の3通りで空振り
v47009	2026-09-09	公式アカウントはあるが紹介ポストがXの検索に出てこない。①足がかり・②名前・発売年で絞った窓の3通りで空振り
v45894	2026-09-09	公式アカウントはあるが紹介ポストがXの検索に出てこない。①足がかり・②名前・発売年で絞った窓の3通りで空振り
v14917	2026-09-09	サブキャラクター紹介の連投は見つかったがDBのロースター（本編攻略対象）に無い人ばかりで、本編キャストの紹介は検索に出ない
v14919	2026-09-09	①足がかり・発売年で絞った窓で空振り。雑誌特集やグッズ告知しか出てこない
v12424	2026-09-09	①足がかり・発売年で絞った窓で空振り。雑誌特集やグッズ告知しか出てこない
v13905	2026-09-09	①足がかり・発売年で絞った窓で空振り。雑誌特集やグッズ告知しか出てこない
v1873	2026-09-09	@icingCandy の検索が0件。アカウントが機能していない可能性
v10005	2026-09-09	@AmuLit_JP は出版元の汎用アカウントで、旧作のキャラ紹介は投稿していない。作品名で絞った検索が0件
