# 探したが紹介ポストが見つからなかった作品／キャラ。hunt がここを飛ばす。
# id には vid でも cid でも書ける。見つかったら行を消せば対象に戻る。
id	checked_at	note
v7836	2026-09-09	依頼者が記入用ブックで黒ハイライト。メモ「この作品はもうプレイできないかも」
c6946	2026-09-09	依頼者が記入用ブックで『該当なし』と記入。全員ヒロインで、公式に紹介ポストが無い
c54641	2026-09-09	依頼者が記入用ブックで『該当なし』と記入。全員ヒロインで、公式に紹介ポストが無い
c64025	2026-09-09	依頼者が記入用ブックで『該当なし』と記入。全員ヒロインで、公式に紹介ポストが無い
c39721	2026-09-09	依頼者が記入用ブックで『該当なし』と記入。全員ヒロインで、公式に紹介ポストが無い
c28299	2026-09-09	依頼者が記入用ブックで『該当なし』と記入。全員ヒロインで、公式に紹介ポストが無い
c4788	2026-09-09	依頼者が記入用ブックで『該当なし』と記入。全員ヒロインで、公式に紹介ポストが無い
c50716	2026-09-09	依頼者が記入用ブックで『該当なし』と記入。全員ヒロインで、公式に紹介ポストが無い
c14695	2026-09-09	依頼者が記入用ブックで『該当なし』と記入。全員ヒロインで、公式に紹介ポストが無い
c30586	2026-09-09	依頼者が記入用ブックで『該当なし』と記入。全員ヒロインで、公式に紹介ポストが無い
v16651	2026-09-09	公式アカウントはあるが紹介ポストがXの検索に出てこない。①足がかり・②名前・発売年で絞った窓の3通りで空振り
v11637	2026-09-09	公式アカウントはあるが紹介ポストがXの検索に出てこない。①足がかり・②名前・発売年で絞った窓の3通りで空振り
v12159	2026-09-09	公式アカウントはあるが紹介ポストがXの検索に出てこない。①足がかり・②名前・発売年で絞った窓の3通りで空振り
v47009	2026-09-09	公式アカウントはあるが紹介ポストがXの検索に出てこない。①足がかり・②名前・発売年で絞った窓の3通りで空振り
v45894	2026-09-09	公式アカウントはあるが紹介ポストがXの検索に出てこない。①足がかり・②名前・発売年で絞った窓の3通りで空振り
v14917	2026-09-09	サブキャラクター紹介の連投は見つかったがDBのロースター（本編攻略対象）に無い人ばかりで、本編キャストの紹介は検索に出ない
v14919	2026-09-09	①足がかり・発売年で絞った窓で空振り。雑誌特集やグッズ告知しか出てこない
v12424	2026-09-09	①足がかり・発売年で絞った窓で空振り。雑誌特集やグッズ告知しか出てこない
v13905	2026-09-09	①足がかり・発売年で絞った窓で空振り。雑誌特集やグッズ告知しか出てこない
v1873	2026-09-09	@icingCandy の検索が0件。アカウントが機能していない可能性
v10005	2026-09-09	@AmuLit_JP は出版元の汎用アカウントで、旧作のキャラ紹介は投稿していない。作品名で絞った検索が0件
v28235	2026-09-09	@AngeR_official の検索が0件
v10607	2026-09-09	@gesotenbygmo はゲームポータル『ゲソてん』の公式で、作品のキャラ紹介は投稿していない
v21024	2026-09-09	雑誌掲載告知しか投稿しておらず、キャラ紹介ポストが無い
v10475	2026-09-09	@honeybee_asgard の検索が0件。アカウントが機能していない可能性
v15248	2026-09-09	@karin_ent は作品名を出す投稿はあるがキャラ紹介は無い（グッズ・イベント告知のみ）
v21922	2026-09-09	グッズ紹介・雑誌告知のみでキャラ紹介が無い
v37852	2026-09-09	2027年1月発売予定の未発売作品。@mono_magia はPVのキャスト一覧のみで、個別のキャラ紹介ポストが存在しない（2026-09時点）
c113188	2026-09-09	GS4のマスコットキャラ。@girlsside573 の #GS男子誕生日 連載は攻略キャラのみで、この子の紹介ポストが無い
c1321	2026-09-09	GS2のマスコットキャラ。@girlsside573 の #GS男子誕生日 連載は攻略キャラのみで、この子の紹介ポストが無い
c39278	2026-09-09	@hw_series は2019年5月〜2020年1月しか稼働しておらず、この期間に誕生日が来なかったため該当ポスト無し。キャラ紹介ポストも無い
c39279	2026-09-09	@hw_series は2019年5月〜2020年1月しか稼働しておらず、この期間に誕生日が来なかったため該当ポスト無し。キャラ紹介ポストも無い
c39283	2026-09-09	@hw_series は2019年5月〜2020年1月しか稼働しておらず、この期間に誕生日が来なかったため該当ポスト無し。キャラ紹介ポストも無い
